Grid,Sugar,N_decisions,Move%,Stay%,Attack%,Reproduce%
20,0.5,9722,32.3,62.4,4.2,1.0
20,1.0,11748,48.1,45.9,4.7,1.3
20,1.5,14350,61.4,32.2,4.6,1.8
20,2.0,14395,62.5,31.1,4.9,1.5
20,2.5,15201,68.4,25.2,4.8,1.6
20,3.0,16763,69.4,24.2,4.6,1.7
30,0.5,12455,35.5,60.2,3.5,0.8
30,1.0,15994,49.8,45.6,3.4,1.2
30,1.5,19088,57.8,37.6,3.4,1.2
30,2.0,19081,62.7,32.6,3.5,1.2
30,2.5,23729,64.7,31.1,2.9,1.3
30,3.0,24065,67.7,28.3,3.1,0.9
50,0.5,18669,37.7,60.0,1.7,0.6
50,1.0,10567,52.4,44.2,2.3,1.1
