grid_size,avg_sugar,vision,metabolism,seed,repeat,N_inf,lambda,R2_surv,steps_run,agents_final,survival_rate,total_combats,total_births,avg_final_sugar,n_attacks,mean_alpha_gap_attacks,pct_move,pct_stay,pct_attack,pct_reproduce
20,0.5,6.0,0.667,42,0,1.402,0.08117,0.9845,200,1,0.02,48,1,610.08,73,0.7807,20.9,36.3,7.9,0.9
20,0.5,1.0,0.9291,43,1,1.53,0.05553,0.9278,200,2,0.04,20,1,209.33,29,0.776,18.1,77.9,2.3,0.1
20,0.5,4.0,1.28,44,2,1.825,0.04332,0.9718,200,1,0.02,25,3,38.19,39,0.5756,25.8,18.0,2.5,1.5
20,0.5,3.0,1.1265,45,3,3.426,0.04289,0.9882,200,3,0.06,29,1,42.17,40,0.696,20.9,38.8,2.2,0.8
20,0.5,1.0,1.1,46,4,2.978,0.06376,0.8779,200,3,0.06,11,1,125.67,15,0.604,21.3,75.6,1.0,0.1
20,0.5,3.0,0.5938,47,5,3.692,0.0302,0.9718,200,4,0.08,40,5,301.76,77,0.6425,21.3,31.3,3.3,0.9
20,0.5,5.0,0.9732,48,6,3.955,0.03778,0.9934,200,5,0.1,34,5,80.04,69,0.6119,23.0,14.5,3.3,1.0
20,0.5,1.0,1.0165,49,7,3.939,0.06212,0.9123,200,4,0.08,15,2,117.15,24,0.5652,20.4,75.1,1.5,0.1
20,0.5,4.0,1.7835,50,8,0.0,0.08617,0.9189,57,0,0.0,12,1,0.0,20,0.7813,29.0,19.4,3.1,0.9
20,0.5,2.0,1.7577,51,9,0.306,0.0775,0.9755,65,0,0.0,15,0,0.0,25,0.735,20.0,45.9,3.4,0.3
20,1.0,6.0,0.667,42,0,2.134,0.05858,0.9921,200,2,0.04,50,2,448.63,94,0.5915,22.4,31.7,7.3,0.5
20,1.0,1.0,0.9291,43,1,2.241,0.04736,0.9504,200,1,0.02,28,0,1138.91,48,0.7535,36.6,53.0,3.1,0.2
20,1.0,4.0,1.28,44,2,4.443,0.0352,0.9868,200,4,0.08,30,6,78.39,54,0.5352,25.7,15.9,2.4,1.2
20,1.0,3.0,1.1265,45,3,5.783,0.0218,0.9822,200,6,0.12,32,3,87.5,52,0.8658,24.6,11.6,1.6,1.0
20,1.0,1.0,1.1,46,4,5.165,0.05187,0.9022,200,5,0.1,20,1,225.12,37,0.5883,38.2,53.8,1.8,0.2
20,1.0,3.0,0.5938,47,5,2.088,0.0131,0.9754,200,3,0.06,48,6,723.21,84,0.805,22.3,11.0,2.2,1.0
20,1.0,5.0,0.9732,48,6,3.687,0.04018,0.9678,200,4,0.08,46,5,195.9,93,0.6119,22.9,20.6,4.9,1.4
20,1.0,1.0,1.0165,49,7,4.552,0.04217,0.936,200,4,0.08,23,0,316.0,43,0.7111,38.5,48.8,2.1,0.3
20,1.0,4.0,1.7835,50,8,0.368,0.06129,0.965,99,0,0.0,17,1,0.0,23,0.8299,30.0,13.7,2.4,1.0
20,1.0,2.0,1.7577,51,9,1.322,0.05941,0.9782,110,0,0.0,15,0,0.0,22,0.5901,27.7,38.0,2.1,0.2
20,1.5,6.0,0.667,42,0,1.991,0.02372,0.9776,200,2,0.04,53,6,945.62,93,0.679,26.2,13.2,3.9,1.0
20,1.5,1.0,0.9291,43,1,2.901,0.03053,0.9678,200,2,0.04,46,1,1099.66,80,0.6816,49.8,34.8,3.6,0.4
20,1.5,4.0,1.28,44,2,0.294,0.01479,0.9845,200,3,0.06,39,2,192.07,80,0.6618,26.2,6.0,2.5,1.0
20,1.5,3.0,1.1265,45,3,4.728,0.01374,0.9575,200,7,0.14,40,2,170.54,74,0.7409,28.3,5.6,1.8,1.2
20,1.5,1.0,1.1,46,4,3.583,0.0364,0.9811,200,3,0.06,40,1,525.21,59,0.6612,47.0,43.1,2.8,0.6
20,1.5,3.0,0.5938,47,5,0.0,0.0089,0.9592,200,11,0.22,50,11,284.14,84,0.6531,21.7,6.6,1.8,1.0
20,1.5,5.0,0.9732,48,6,11.75,0.0241,0.9536,200,13,0.26,40,9,82.33,71,0.6082,19.2,7.6,1.8,1.0
20,1.5,1.0,1.0165,49,7,2.721,0.02032,0.9858,200,4,0.08,45,5,508.79,73,0.5926,44.2,40.5,2.5,0.6
20,1.5,4.0,1.7835,50,8,0.0,0.04115,0.9283,88,0,0.0,9,2,0.0,15,0.7946,30.8,9.9,1.2,1.5
20,1.5,2.0,1.7577,51,9,0.0,0.03105,0.9573,173,0,0.0,11,1,0.0,27,0.7964,36.7,17.1,1.6,0.5
20,2.0,6.0,0.667,42,0,0.577,0.02738,0.9778,200,2,0.04,53,5,921.35,103,0.5562,25.5,14.1,5.2,1.1
20,2.0,1.0,0.9291,43,1,2.136,0.03504,0.9582,200,3,0.06,47,0,856.08,64,0.782,53.1,31.4,3.4,0.2
20,2.0,4.0,1.28,44,2,0.0,0.01234,0.9565,200,6,0.12,45,8,143.23,87,0.5925,22.9,4.2,2.3,1.2
20,2.0,3.0,1.1265,45,3,14.477,0.01723,0.9767,200,14,0.28,48,12,85.1,80,0.7572,24.2,3.8,1.6,1.1
20,2.0,1.0,1.1,46,4,4.423,0.03828,0.979,200,4,0.08,37,2,427.58,69,0.6965,46.1,40.7,3.2,0.4
20,2.0,3.0,0.5938,47,5,19.862,0.03424,0.8926,200,19,0.38,43,12,201.13,81,0.7207,21.8,5.4,1.7,0.8
20,2.0,5.0,0.9732,48,6,3.856,0.03686,0.9877,200,4,0.08,46,4,284.0,78,0.6522,33.5,18.6,3.8,0.4
20,2.0,1.0,1.0165,49,7,3.78,0.01924,0.9825,200,6,0.12,42,3,381.32,81,0.6903,47.3,37.5,2.5,0.5
20,2.0,4.0,1.7835,50,8,0.0,0.03805,0.9396,100,0,0.0,15,0,0.0,31,0.7282,33.3,8.5,2.3,1.0
20,2.0,2.0,1.7577,51,9,0.663,0.02943,0.9525,200,1,0.02,20,2,63.41,31,0.6162,36.7,21.6,1.6,0.7
20,2.5,6.0,0.667,42,0,4.057,0.04682,0.9161,200,3,0.06,56,9,722.14,105,0.7005,26.2,8.2,5.8,1.3
20,2.5,1.0,0.9291,43,1,3.661,0.02953,0.9739,200,4,0.08,50,4,769.97,86,0.7429,55.2,30.8,3.6,0.5
20,2.5,4.0,1.28,44,2,1.704,0.0142,0.9893,200,5,0.1,40,1,204.15,69,0.5656,28.9,6.7,1.9,1.0
20,2.5,3.0,1.1265,45,3,0.0,0.00402,0.9617,200,23,0.46,33,9,60.93,60,0.6754,22.0,2.7,0.9,0.9
20,2.5,1.0,1.1,46,4,1.848,0.02861,0.9861,200,3,0.06,45,1,796.44,84,0.7474,55.0,30.3,3.9,0.5
20,2.5,3.0,0.5938,47,5,0.0,0.00901,0.8918,200,11,0.22,47,8,379.4,81,0.7154,22.9,4.9,1.7,0.5
20,2.5,5.0,0.9732,48,6,9.933,0.02746,0.9297,200,7,0.14,51,8,286.35,95,0.6726,26.1,6.3,2.7,1.0
20,2.5,1.0,1.0165,49,7,3.429,0.02753,0.9934,200,3,0.06,49,3,915.24,77,0.7509,53.8,33.4,3.2,0.4
20,2.5,4.0,1.7835,50,8,0.0,0.02707,0.977,200,1,0.02,19,1,101.53,32,0.6872,31.5,11.5,1.6,1.0
20,2.5,2.0,1.7577,51,9,0.224,0.01978,0.9669,200,2,0.04,22,1,67.14,41,0.581,36.4,14.6,1.6,0.7
20,3.0,6.0,0.667,42,0,2.345,0.02807,0.9781,200,2,0.04,54,6,1328.31,99,0.6099,30.6,10.7,4.6,1.0
20,3.0,1.0,0.9291,43,1,2.918,0.02388,0.9818,200,3,0.06,50,3,1243.33,90,0.7477,56.2,31.3,3.4,0.3
20,3.0,4.0,1.28,44,2,7.627,0.01173,0.9686,200,11,0.22,46,11,113.58,83,0.5918,23.9,4.6,1.7,1.3
20,3.0,3.0,1.1265,45,3,28.155,0.02525,0.9579,200,30,0.6,39,19,80.83,77,0.6989,23.6,3.3,1.2,1.1
20,3.0,1.0,1.1,46,4,3.025,0.02761,0.9782,200,3,0.06,48,1,1024.11,87,0.7722,55.4,33.7,3.6,0.5
20,3.0,3.0,0.5938,47,5,0.0,0.00513,0.9501,200,16,0.32,54,20,335.02,84,0.6767,21.8,3.3,1.3,0.8
20,3.0,5.0,0.9732,48,6,5.542,0.0236,0.9628,200,3,0.06,54,7,761.09,92,0.5326,31.0,6.2,3.0,0.9
20,3.0,1.0,1.0165,49,7,1.045,0.02121,0.9892,200,2,0.04,49,1,1650.11,87,0.7352,54.9,28.9,3.4,0.2
20,3.0,4.0,1.7835,50,8,0.0,0.02215,0.9475,200,1,0.02,13,3,70.14,20,0.5918,29.4,7.2,0.8,0.9
20,3.0,2.0,1.7577,51,9,0.0,0.01698,0.9729,200,2,0.04,25,0,43.19,52,0.6866,36.1,15.7,1.8,0.4
30,0.5,6.0,0.667,42,0,3.691,0.06179,0.9789,200,4,0.08,49,5,214.71,88,0.666,19.0,48.4,5.7,0.9
30,0.5,1.0,0.9291,43,1,3.859,0.05243,0.908,200,3,0.06,17,0,317.42,30,0.8238,28.3,66.8,1.7,0.1
30,0.5,4.0,1.28,44,2,5.506,0.03753,0.9638,200,5,0.1,35,8,79.46,63,0.7627,27.6,22.5,2.7,1.0
