step,agent_id,alpha,x,y,sugar,metabolism,age,decision,target_x,target_y,target_alpha,collected,in_house,alive
0,25,0.887,18,16,14.4,0.5937877680754614,1,"1,(18,15)-START",18,15,,0,False,True
0,14,0.618,9,7,29.4,0.5937877680754614,1,"4,(10,6)-WIN",,,-0.058,0,False,True
0,0,0.317,2,13,14.4,0.5937877680754614,1,"1,(4,13)-START",4,13,,0,False,True
0,5,-0.933,14,6,17.4,0.5937877680754614,1,"1,(14,6)-START",,,,3,False,True
0,44,-0.896,10,17,14.4,0.5937877680754614,1,2-STAY,,,,0,False,True
0,34,-0.598,15,15,16.4,0.5937877680754614,1,"1,(15,16)-START",15,16,,2,False,True
0,19,-0.029,5,12,17.4,0.5937877680754614,1,"1,(5,12)-START",,,,3,False,True
0,49,0.044,13,17,14.4,0.5937877680754614,1,"1,(13,15)-START",13,15,,0,False,True
0,30,0.055,18,11,14.4,0.5937877680754614,1,2-STAY,,,,0,False,True
0,27,-0.577,17,7,14.4,0.5937877680754614,1,"1,(16,7)-START",16,7,,0,False,True
0,13,0.209,4,13,16.4,0.5937877680754614,1,"1,(4,13)-START",,,,2,False,True
0,20,-0.702,19,17,14.4,0.5937877680754614,1,"4,(19,16)-FAIL",,,,0,False,True
0,40,0.758,8,1,14.4,0.5937877680754614,1,"1,(10,1)-START",10,1,,0,False,True
0,42,0.717,9,19,14.4,0.5937877680754614,1,"1,(9,18)-START",9,18,,0,False,True
0,36,0.39,19,0,14.4,0.5937877680754614,1,"1,(19,0)-START",,,,0,False,True
0,28,-0.647,12,5,17.4,0.5937877680754614,1,"1,(12,5)-START",,,,3,False,True
0,11,0.854,3,7,29.4,0.5937877680754614,1,"4,(3,8)-WIN",,,-0.112,0,False,True
0,23,-0.269,14,13,17.4,0.5937877680754614,1,"1,(14,14)-START",14,14,,3,False,True
0,48,0.647,15,14,17.4,0.5937877680754614,1,"1,(15,13)-START",15,13,,3,False,True
0,16,-0.376,2,15,14.4,0.5937877680754614,1,"1,(2,16)-START",2,16,,0,False,True
0,3,-0.145,10,18,28.8,0.5937877680754614,1,"4,(10,17)-WIN",,,-0.896,0,False,True
0,2,-0.982,14,17,14.4,0.5937877680754614,1,"1,(15,16)-START",15,16,,0,False,True
0,46,0.195,17,15,14.4,0.5937877680754614,1,"1,(17,15)-START",,,,0,False,True
0,43,0.126,18,2,14.4,0.5937877680754614,1,2-STAY,,,,0,False,True
0,33,-0.638,0,4,14.4,0.5937877680754614,1,"1,(0,5)-START",0,5,,0,False,True
0,8,-0.749,6,1,14.4,0.5937877680754614,1,"1,(5,3)-START",5,3,,0,False,True
0,24,-0.47,1,19,14.4,0.5937877680754614,1,2-STAY,,,,0,False,True
0,47,-0.766,1,16,14.4,0.5937877680754614,1,"1,(1,15)-START",1,15,,0,False,True
0,9,0.157,4,11,14.4,0.5937877680754614,1,"1,(2,11)-START",2,11,,0,False,True
0,41,0.16,4,16,14.4,0.5937877680754614,1,"1,(4,15)-START",4,15,,0,False,True
0,26,0.659,14,10,17.4,0.5937877680754614,1,"1,(14,10)-START",,,,3,False,True
0,38,0.755,9,1,14.4,0.5937877680754614,1,"1,(9,1)-START",,,,0,False,True
0,17,0.889,12,7,14.4,0.5937877680754614,1,"1,(12,7)-START",,,,0,False,True
0,35,-0.093,16,16,14.4,0.5937877680754614,1,"1,(15,15)-START",15,15,,0,False,True
0,39,-0.956,11,3,14.4,0.5937877680754614,1,"1,(10,5)-START",10,5,,0,False,True
0,6,0.202,12,11,14.4,0.5937877680754614,1,"1,(14,11)-START",14,11,,0,False,True
0,37,0.844,5,4,32.4,0.5937877680754614,1,"4,(6,4)-WIN",,,-0.803,3,False,True
0,1,-0.472,3,0,14.4,0.5937877680754614,1,2-STAY,,,,0,False,True
0,10,0.626,15,17,14.4,0.5937877680754614,1,"1,(15,16)-START",15,16,,0,False,True
0,21,0.094,1,5,14.4,0.5937877680754614,1,"1,(1,4)-START",1,4,,0,False,True
0,22,-0.469,3,2,14.4,0.5937877680754614,1,"1,(3,1)-START",3,1,,0,False,True
0,15,0.065,8,12,14.4,0.5937877680754614,1,"1,(8,12)-START",,,,0,False,True
0,7,0.524,16,18,14.4,0.5937877680754614,1,"1,(16,17)-START",16,17,,0,False,True
0,32,-0.959,3,11,14.4,0.5937877680754614,1,"1,(3,11)-START",,,,0,False,True
0,45,0.813,13,12,14.4,0.5937877680754614,1,"1,(13,12)-START",,,,0,False,True
0,18,0.213,15,7,14.4,0.5937877680754614,1,"1,(15,6)-START",15,6,,0,False,True
0,4,0.028,6,16,14.4,0.5937877680754614,1,"1,(5,15)-START",5,15,,0,False,True
1,39,-0.956,10,3,13.8,0.5937877680754614,2,TRAVELING,10,5,,0,False,True
1,48,0.647,15,13,18.8,0.5937877680754614,2,TRAVELING,,,,2,False,True
1,34,-0.598,15,16,15.8,0.5937877680754614,2,TRAVELING,,,,0,False,True
1,42,0.717,9,18,13.8,0.5937877680754614,2,TRAVELING,,,,0,False,True
1,43,0.126,18,2,13.8,0.5937877680754614,2,2-STAY,,,,0,False,True
1,40,0.758,7,1,13.8,0.5937877680754614,2,TRAVELING,10,1,,0,False,True
1,17,0.889,13,7,13.8,0.5937877680754614,2,"1,(13,6)-START",13,6,,0,False,True
1,0,0.317,3,13,13.8,0.5937877680754614,2,TRAVELING,4,13,,0,False,True
1,37,0.844,5,4,16.8,0.5937877680754614,2,"3,(5,5)-SUCCESS",,,,1,False,True
1,49,0.044,13,16,13.8,0.5937877680754614,2,TRAVELING,13,15,,0,False,True
1,22,-0.469,3,1,13.8,0.5937877680754614,2,TRAVELING,,,,0,False,True
1,33,-0.638,0,5,13.8,0.5937877680754614,2,TRAVELING,,,,0,False,True
1,6,0.202,13,11,13.8,0.5937877680754614,2,TRAVELING,14,11,,0,False,True
1,18,0.213,15,6,15.8,0.5937877680754614,2,TRAVELING,,,,2,False,True
1,46,0.195,16,15,13.8,0.5937877680754614,2,"1,(16,16)-START",16,16,,0,False,True
1,35,-0.093,17,16,13.8,0.5937877680754614,2,TRAVELING,15,15,,0,False,True
1,30,0.055,18,11,13.8,0.5937877680754614,2,2-STAY,,,,0,False,True
1,21,0.094,1,4,13.8,0.5937877680754614,2,TRAVELING,,,,0,False,True
1,11,0.854,3,7,28.8,0.5937877680754614,2,"3,(4,6)-FAIL-LOW SUG",,,,0,False,True
1,20,-0.702,19,17,13.8,0.5937877680754614,2,2-STAY,,,,0,False,True
1,45,0.813,14,12,16.8,0.5937877680754614,2,"1,(14,12)-START",,,,3,False,True
1,19,-0.029,5,11,19.8,0.5937877680754614,2,"1,(5,11)-START",,,,3,False,True
1,8,-0.749,5,1,13.8,0.5937877680754614,2,TRAVELING,5,3,,0,False,True
1,24,-0.47,1,19,13.8,0.5937877680754614,2,2-STAY,,,,0,False,True
1,10,0.626,16,17,13.8,0.5937877680754614,2,TRAVELING,15,16,,0,False,True
1,1,-0.472,3,0,13.8,0.5937877680754614,2,2-STAY,,,,0,False,True
