step,agents_alive,total_map_sugar,total_agent_sugar,combats_total,avg_agent_sugar,avg_agent_age,births_total
0,49,1746,809.3,1,16.52,1.0,0
1,49,1634,873.6,1,17.83,2.0,0
2,49,1651,916.9,1,18.71,3.0,0
3,48,1564,957.2,2,19.94,4.0,0
4,48,1623,977.5,2,20.36,5.0,0
5,45,1549,1007.7,5,22.39,6.0,0
6,44,1616,1037.9,6,23.59,7.0,0
7,44,1547,1064.1,6,24.18,8.0,0
8,43,1631,1074.2,7,24.98,9.0,0
9,42,1572,1092.4,8,26.01,10.0,0
10,42,1649,1099.5,8,26.18,11.0,0
11,42,1579,1128.6,8,26.87,12.0,0
12,42,1637,1142.7,8,27.21,13.0,0
13,41,1587,1152.8,9,28.12,14.0,0
14,41,1650,1155.9,9,28.19,15.0,0
15,40,1598,1169.2,9,29.23,15.6,1
16,40,1651,1177.3,9,29.43,16.6,1
17,40,1582,1207.3,9,30.18,17.6,1
18,40,1638,1220.4,10,30.51,18.12,2
19,40,1583,1236.4,10,30.91,19.12,2
20,40,1645,1242.5,10,31.06,20.12,2
21,39,1595,1254.6,11,32.17,21.51,2
22,38,1656,1262.6,12,33.23,22.5,2
23,37,1596,1286.6,13,34.77,23.49,2
24,36,1657,1292.5,14,35.9,24.47,2
25,36,1608,1306.5,14,36.29,25.47,2
26,37,1660,1318.5,14,35.63,25.76,3
27,35,1612,1332.4,16,38.07,27.46,3
28,35,1665,1342.4,16,38.35,28.46,3
29,34,1620,1354.3,17,39.83,29.44,3
30,34,1678,1356.2,17,39.89,30.44,3
31,34,1631,1370.1,17,40.3,31.44,3
32,34,1680,1376.0,17,40.47,32.44,3
33,33,1635,1388.9,18,42.09,33.42,3
34,31,1681,1396.7,20,45.06,34.39,3
35,30,1641,1407.5,21,46.92,35.37,3
36,30,1693,1405.4,21,46.85,36.37,3
37,30,1642,1427.2,21,47.57,37.37,3
38,30,1684,1434.0,21,47.8,38.37,3
39,30,1640,1448.8,21,48.29,39.37,3
40,30,1682,1456.6,21,48.55,40.37,3
41,30,1637,1472.4,21,49.08,41.37,3
42,30,1682,1475.2,21,49.17,42.37,3
43,30,1631,1497.0,21,49.9,43.37,3
44,30,1673,1507.8,21,50.26,44.37,3
45,30,1629,1522.6,21,50.75,45.37,3
46,30,1673,1529.4,21,50.98,46.37,3
47,30,1634,1539.2,21,51.31,47.37,3
48,30,1684,1545.0,21,51.5,48.37,3
49,28,1636,1565.8,23,55.92,49.32,3
50,27,1683,1570.5,24,58.17,50.3,3
51,27,1638,1589.2,24,58.86,51.3,3
52,26,1684,1591.9,25,61.23,52.27,3
53,26,1650,1600.6,25,61.56,53.27,3
54,24,1692,1607.2,27,66.97,54.21,3
55,23,1657,1619.9,28,70.43,55.17,3
56,24,1698,1624.5,28,67.69,53.83,4
57,25,1660,1639.1,28,65.56,52.64,5
58,25,1699,1644.8,28,65.79,53.64,5
59,23,1667,1654.4,30,71.93,54.17,5
60,23,1709,1657.0,30,72.04,55.17,5
61,22,1680,1664.6,31,75.66,55.91,5
62,21,1716,1666.2,32,79.34,59.38,5
63,21,1677,1684.7,32,80.23,60.38,5
64,20,1711,1689.6,32,84.48,61.2,5
65,20,1687,1694.1,32,84.7,62.2,5
66,19,1723,1693.6,33,89.14,63.0,5
67,18,1695,1704.1,34,94.67,64.83,5
68,18,1724,1710.6,34,95.03,65.83,5
69,18,1697,1720.1,34,95.56,66.83,5
70,18,1726,1726.5,34,95.92,67.83,5
71,18,1699,1736.0,34,96.45,68.83,5
72,18,1730,1739.5,34,96.64,69.83,5
73,18,1706,1746.0,34,97.0,70.83,5
74,18,1733,1750.5,34,97.25,71.83,5
75,18,1706,1760.0,34,97.78,72.83,5
76,18,1731,1765.4,34,98.08,73.83,5
77,18,1706,1772.9,34,98.5,74.83,5
78,18,1733,1774.4,34,98.58,75.83,5
79,18,1710,1779.9,34,98.88,76.83,5
80,18,1730,1786.4,34,99.24,77.83,5
81,18,1703,1795.8,34,99.77,78.83,5
82,18,1724,1805.3,34,100.3,79.83,5
83,18,1698,1813.8,34,100.77,80.83,5
84,18,1725,1818.3,34,101.02,81.83,5
85,18,1697,1828.8,34,101.6,82.83,5
86,18,1721,1834.3,34,101.9,83.83,5
87,18,1696,1841.7,34,102.32,84.83,5
88,18,1722,1848.2,34,102.68,85.83,5
89,18,1692,1860.7,34,103.37,86.83,5
90,18,1719,1867.2,34,103.73,87.83,5
91,18,1693,1875.7,34,104.2,88.83,5
92,19,1724,1880.2,34,98.96,85.11,6
93,19,1698,1887.7,34,99.35,86.11,6
94,19,1720,1898.2,34,99.9,87.11,6
95,19,1688,1911.7,34,100.62,88.11,6
96,18,1718,1915.2,35,106.4,88.67,6
97,18,1690,1925.7,35,106.98,89.67,6
98,18,1719,1930.1,35,107.23,90.67,6
99,18,1691,1940.6,35,107.81,91.67,6
100,18,1718,1944.1,35,108.01,92.67,6
101,18,1693,1951.6,35,108.42,93.67,6
102,18,1724,1955.1,35,108.61,94.67,6
103,17,1697,1965.5,36,115.62,95.18,6
104,16,1727,1972.0,37,123.25,95.62,6
105,16,1704,1979.4,37,123.71,96.62,6
106,16,1732,1984.8,37,124.05,97.62,6
107,16,1702,1999.2,37,124.95,98.62,6
108,16,1728,2005.7,37,125.35,99.62,6
109,16,1704,2014.1,37,125.88,100.62,6
110,16,1735,2013.5,37,125.85,101.62,6
111,16,1716,2017.0,37,126.06,102.62,6
112,16,1745,2017.4,37,126.09,103.62,6
113,16,1720,2026.8,37,126.68,104.62,6
114,15,1744,2031.2,38,135.41,105.0,6
115,14,1728,2033.6,39,145.26,105.29,6
116,13,1759,2030.9,40,156.23,105.46,6
117,13,1741,2036.3,40,156.64,106.46,6
118,13,1761,2035.6,40,156.59,107.46,6
119,13,1738,2046.0,40,157.38,108.46,6
120,13,1755,2052.3,40,157.87,109.46,6
121,13,1733,2061.7,40,158.59,110.46,6
122,13,1747,2069.0,40,159.16,111.46,6
123,13,1726,2077.4,40,159.8,112.46,6
124,13,1745,2083.7,40,160.29,113.46,6
125,13,1726,2090.1,40,160.78,114.46,6
126,15,1748,2091.4,40,139.43,100.07,8
127,15,1723,2101.8,40,140.12,101.07,8
128,15,1743,2104.2,40,140.28,102.07,8
129,14,1724,2108.6,41,150.62,101.14,8
130,14,1751,2106.0,41,150.43,102.14,8
131,13,1728,2116.4,42,162.8,110.69,8
132,13,1747,2119.7,42,163.05,111.69,8
133,14,1724,2130.1,42,152.15,104.64,9
134,14,1740,2136.4,42,152.6,105.64,9
135,14,1722,2140.8,42,152.91,106.64,9
136,14,1743,2143.2,42,153.08,107.64,9
137,14,1720,2152.6,42,153.75,108.64,9
138,13,1742,2153.9,43,165.69,107.38,9
139,12,1730,2154.2,44,179.52,116.92,9
140,12,1751,2155.6,44,179.63,117.92,9
141,12,1727,2167.9,44,180.66,118.92,9
142,12,1740,2176.2,44,181.35,119.92,9
143,11,1727,2178.5,45,198.04,118.82,9
144,10,1751,2176.8,46,217.68,117.3,9
145,10,1733,2185.0,46,218.5,118.3,9
146,10,1756,2185.3,46,218.53,119.3,9
147,10,1739,2192.6,46,219.26,120.3,9
148,10,1761,2193.8,46,219.38,121.3,9
149,10,1745,2200.1,46,220.01,122.3,9
150,10,1762,2201.4,46,220.14,123.3,9
151,10,1744,2209.6,46,220.96,124.3,9
152,10,1760,2212.9,46,221.29,125.3,9
153,10,1743,2220.2,46,222.02,126.3,9
154,10,1758,2223.4,46,222.34,127.3,9
155,10,1740,2231.7,46,223.17,128.3,9
156,10,1759,2231.0,46,223.1,129.3,9
157,10,1741,2239.2,46,223.92,130.3,9
158,10,1759,2237.5,46,223.75,131.3,9
159,10,1745,2241.8,46,224.18,132.3,9
160,10,1768,2238.0,46,223.8,133.3,9
161,10,1756,2240.3,46,224.03,134.3,9
162,10,1768,2244.6,46,224.46,135.3,9
163,10,1747,2255.9,46,225.59,136.3,9
164,10,1759,2261.1,46,226.11,137.3,9
165,10,1740,2270.4,46,227.04,138.3,9
166,10,1756,2270.7,46,227.07,139.3,9
167,10,1736,2280.9,46,228.09,140.3,9
168,10,1753,2283.2,46,228.32,141.3,9
169,10,1741,2285.5,46,228.55,142.3,9
170,10,1759,2285.7,46,228.57,143.3,9
171,9,1746,2290.0,47,254.44,141.22,9
172,9,1762,2290.2,47,254.47,142.22,9
173,8,1743,2301.4,48,287.68,155.25,9
174,8,1759,2303.6,48,287.96,156.25,9
175,8,1747,2307.9,48,288.48,157.25,9
176,8,1762,2310.1,48,288.76,158.25,9
177,8,1753,2311.3,48,288.91,159.25,9
178,7,1771,2311.5,49,330.21,157.57,9
179,7,1761,2314.7,49,330.67,158.57,9
180,7,1770,2319.8,49,331.41,159.57,9
181,7,1756,2327.0,49,332.43,160.57,9
182,6,1772,2328.2,50,388.03,158.0,9
183,5,1762,2333.3,51,466.67,172.6,9
184,5,1780,2331.5,51,466.29,173.6,9
185,5,1773,2333.6,51,466.72,174.6,9
186,5,1788,2332.7,51,466.55,175.6,9
187,5,1777,2338.9,51,467.77,176.6,9
188,5,1783,2344.0,51,468.8,177.6,9
189,5,1777,2345.1,51,469.03,178.6,9
190,5,1787,2341.3,51,468.25,179.6,9
191,4,1779,2345.4,52,586.34,177.75,9
192,4,1784,2349.5,52,587.37,178.75,9
193,4,1778,2351.6,52,587.9,179.75,9
194,4,1786,2351.7,52,587.92,180.75,9
195,4,1782,2351.8,52,587.95,181.75,9
196,4,1793,2349.9,52,587.48,182.75,9
197,4,1785,2354.0,52,588.51,183.75,9
198,4,1791,2355.1,52,588.78,184.75,9
199,4,1784,2358.2,52,589.56,185.75,9
