id,x,y,vision,metabolism,sugar,alpha
0,7,18,3,1.1265367845598036,15,0.615
1,19,47,3,1.1265367845598036,15,0.299
2,39,4,3,1.1265367845598036,15,-0.73
3,47,9,3,1.1265367845598036,15,-0.578
4,48,45,3,1.1265367845598036,15,-0.143
5,39,26,3,1.1265367845598036,15,-0.714
6,3,2,3,1.1265367845598036,15,-0.656
7,16,22,3,1.1265367845598036,15,0.55
8,20,6,3,1.1265367845598036,15,-0.177
9,1,48,3,1.1265367845598036,15,-0.343
10,24,44,3,1.1265367845598036,15,0.753
11,47,33,3,1.1265367845598036,15,0.321
12,40,46,3,1.1265367845598036,15,0.242
13,44,41,3,1.1265367845598036,15,-0.491
14,42,3,3,1.1265367845598036,15,-0.015
15,23,13,3,1.1265367845598036,15,-0.297
16,40,1,3,1.1265367845598036,15,-0.501
17,45,39,3,1.1265367845598036,15,-0.152
18,13,26,3,1.1265367845598036,15,-0.23
19,24,9,3,1.1265367845598036,15,0.169
20,35,5,3,1.1265367845598036,15,0.12
21,3,32,3,1.1265367845598036,15,0.225
22,1,39,3,1.1265367845598036,15,0.717
23,42,40,3,1.1265367845598036,15,0.041
24,18,20,3,1.1265367845598036,15,-0.398
25,11,0,3,1.1265367845598036,15,0.244
26,3,25,3,1.1265367845598036,15,0.89
27,6,0,3,1.1265367845598036,15,0.248
28,36,45,3,1.1265367845598036,15,-0.275
29,17,29,3,1.1265367845598036,15,-0.122
30,21,17,3,1.1265367845598036,15,0.943
31,41,40,3,1.1265367845598036,15,0.037
32,42,14,3,1.1265367845598036,15,-0.012
33,9,1,3,1.1265367845598036,15,0.195
34,16,30,3,1.1265367845598036,15,-0.81
35,39,13,3,1.1265367845598036,15,0.57
36,5,4,3,1.1265367845598036,15,0.385
37,25,38,3,1.1265367845598036,15,-0.673
38,42,44,3,1.1265367845598036,15,0.321
39,45,28,3,1.1265367845598036,15,0.712
40,24,41,3,1.1265367845598036,15,0.667
41,24,49,3,1.1265367845598036,15,-0.196
42,24,10,3,1.1265367845598036,15,0.42
43,1,4,3,1.1265367845598036,15,-0.358
44,41,44,3,1.1265367845598036,15,-0.17
45,20,23,3,1.1265367845598036,15,-0.124
46,36,13,3,1.1265367845598036,15,0.626
47,25,33,3,1.1265367845598036,15,0.077
48,0,43,3,1.1265367845598036,15,-0.175
49,2,40,3,1.1265367845598036,15,0.712
